問題上,問題中,問題下,解答,識別文字,識別番号
多くの,兵戟,を蓄える。,へいげき,兵戟へいげき,4486
,嘉節,を皆で祝う。,かせつ,嘉節かせつ,4487
作業が,濡滞,する。,じゅたい,濡滞じゅたい,4488
,穎才,が認められる。,えいさい,穎才えいさい,4489
,顎関節,が脱臼する。,がくかんせつ,顎関節がくかんせつ,4490
,伎楽,を上演する。,ぎがく,伎楽ぎがく,4491
敗れて,繫囚,となる。,けいしゅう,繫囚けいしゅう,4492
主から,鶏黍,を受ける。,けいしょ,鶏黍けいしょ,4493
,禎祥,が見られる。,ていしょう,禎祥ていしょう,4494
,昂然,と胸を張る。,こうぜん,昂然こうぜん,4495
官吏を辞め,晦匿,する。,かいとく,晦匿かいとく,4496
砂浜に,濤声,が響く。,とうせい,濤声とうせい,4497
家臣を,駕御,する。,がぎょ,駕御がぎょ,4498
政敵を,鼠輩,と蔑む。,そはい,鼠輩そはい,4499
,防諜,を強化する。,ぼうちょう,防諜ぼうちょう,4500
,渥丹,の器に薬を盛る。,あくたん,渥丹あくたん,4501
昔から,要津,とされる。,ようしん,要津ようしん,4502
,竹箆,を打つ。,ちくへい,竹箆ちくへい,4503
,割烹,で夕飯を済ます。,かっぽう,割烹かっぽう,4504
,播種,期を迎える。,はしゅ,播種はしゅ,4505
各地に,擾乱,が起こる。,じょうらん,擾乱じょうらん,4506
,微塵,も痕跡がない。,みじん,微塵みじん,4507
,芸妓,が舞を披露する。,げいぎ,芸妓げいぎ,4508
鐘も,撞木,の当たり柄。,しゅもく,撞木しゅもく,4509
,軽忽,な言動を戒める。,けいこつ,軽忽けいこつ,4510
,慧敏,さに感心する。,けいびん,慧敏けいびん,4511
僧侶が,頭陀,行する。,ずだ,頭陀ずだ,4512
師から,烹箭,を教わる。,ほうせん,烹箭ほうせん,4513
,銅壺,で湯を沸かす。,どうこ,銅壺どうこ,4514
,而立,を迎え起業する。,じりつ,而立じりつ,4515
容疑者を,鞠訊,する。,きくじん,鞠訊きくじん,4516
,名妓,と評判が高い。,めいぎ,名妓めいぎ,4517
罪を,貰赦,する。,せいしゃ,貰赦せいしゃ,4518
中流の,砥柱,。,しちゅう,砥柱しちゅう,4519
城を堀で,匝囲,する。,そうい,匝囲そうい,4520
情勢が,逼急,している。,ひっきゅう,逼急ひっきゅう,4521
,竃煙,が立ち上がる。,そうえん,竃煙そうえん,4522
春山に,鶯語,が響く。,おうご,鶯語おうご,4523
,漏壺,が時を知らせる。,ろうこ,漏壺ろうこ,4524
自ら,竪立,する。,じゅりつ,竪立じゅりつ,4525
,甑中,に塵を生ず。,そうちゅう,甑中そうちゅう,4526
